Bez,StatBezName,Pers,HW,NW,M,W,LD,VH,VW,GS,0-2,3-5,6-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90um,Deutsch,Ausl
41,Beverau,4225,4169,56,2076,2149,1707,2021,259,238,86,108,180,275,144,108,216,136,156,178,245,304,406,444,307,206,175,191,195,106,59,3981,244
42,Burtsch. Kurgarten,4997,4936,61,2651,2346,3155,1307,183,352,94,77,112,144,102,115,750,740,508,326,208,229,310,275,218,204,142,167,161,70,45,4153,844
43,Burtscheider Abtei,7430,7260,170,3828,3602,4178,2251,430,571,179,145,153,200,138,161,848,901,645,460,379,339,519,491,402,328,317,349,264,133,79,6357,1073
46,Steinebrück,7187,7082,105,3418,3769,2869,3216,568,534,186,168,208,327,229,144,405,329,348,346,318,414,603,612,478,431,424,474,367,222,154,6642,545
47,Marschiertor,6781,6716,65,3727,3054,4721,1411,256,393,142,80,97,107,65,170,1366,1385,798,407,246,239,335,307,272,199,147,135,153,79,52,5329,1452
48,Hangeweiher,11620,11495,125,5737,5883,5810,4081,849,880,303,287,338,455,315,291,1129,995,751,584,528,582,833,771,648,607,497,618,545,289,254,9906,1714
51,Brand,17239,17114,125,8275,8964,6693,7975,1121,1450,448,492,645,832,526,373,902,891,979,976,953,1113,1466,1490,1235,1016,816,910,751,283,142,15682,1557
52,Eilendorf,15903,15836,67,7855,8048,6497,7070,1037,1299,477,424,553,682,459,292,909,1075,1016,1022,837,1051,1397,1235,1089,911,746,716,637,252,123,13671,2232
53,Haaren,12452,12360,92,6381,6071,5544,5219,764,925,324,304,464,659,391,337,871,862,758,825,724,819,1005,931,765,590,525,536,478,187,97,10273,2179
61,Kornelimünster,3278,3240,38,1603,1675,1235,1497,285,261,62,75,126,182,97,66,126,133,178,143,196,243,277,262,224,220,176,213,145,85,49,3043,235
62,Oberforstbach,5077,5041,36,2514,2563,1881,2464,339,393,126,123,158,215,130,106,257,222,263,264,257,313,515,459,375,364,237,293,243,110,47,4660,417
63,Walheim,6982,6923,59,3390,3592,2496,3356,566,564,151,179,225,334,229,138,276,298,324,345,382,430,632,619,560,457,395,430,346,146,86,6464,518
64,Vaalserquartier,9951,9797,154,5311,4640,5634,3424,357,536,202,216,280,363,230,313,1711,1274,665,484,435,406,574,617,606,528,364,309,215,106,53,7448,2503
65,Laurensberg,10649,10523,126,5262,5387,4430,4652,804,763,272,281,354,469,301,208,545,654,690,666,606,663,892,765,658,576,526,539,483,300,201,9435,1214
66,Richterich,8757,8661,96,4303,4454,3519,4082,497,659,237,238,322,412,253,181,428,501,481,467,479,505,717,740,697,605,440,470,376,138,70,7760,997
