Bez,StatBezName,Pers,HW,NW,M,W,LD,VH,VW,GS,0-2,3-5,6-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90um,Deutsch,Ausl
10,Markt,2721,2671,50,1602,1119,1994,501,79,147,41,21,25,24,19,73,712,583,314,149,89,89,93,107,99,66,60,66,56,23,12,2037,684
13,Theater,2760,2736,24,1562,1198,1923,568,110,159,45,21,30,33,26,60,573,577,313,168,101,88,130,105,95,82,88,85,88,29,23,2141,619
14,Lindenplatz,4285,4229,56,2332,1953,3171,723,189,202,65,46,38,44,33,122,1098,912,405,213,109,147,176,156,131,115,92,112,117,91,63,3280,1005
15,St. Jakob,6373,6302,71,3550,2823,4717,1170,150,336,106,68,84,117,63,181,1527,1403,674,376,261,247,253,258,218,165,127,98,91,42,14,5134,1239
16,Westpark,8194,8103,91,4526,3668,5476,2050,304,364,192,150,173,201,117,244,1544,1492,859,479,352,327,397,353,334,227,191,212,181,111,58,6609,1585
17,Hanbruch,3615,3595,20,1758,1857,1558,1497,271,289,97,97,149,199,135,72,232,193,193,201,187,238,281,311,231,226,146,153,145,90,39,3108,507
18,Hörn,5528,5447,81,2857,2671,3009,1939,321,259,123,122,176,186,118,190,906,650,356,238,217,227,339,323,269,240,201,229,237,115,66,4533,995
21,Ponttor,12431,12262,169,7489,4942,9559,2149,292,431,225,150,146,175,105,438,3677,2721,1194,620,390,361,445,362,327,292,251,227,203,82,40,8894,3537
22,Hansemannplatz,5343,5282,61,3084,2259,3626,1213,187,317,93,78,74,108,62,130,1063,1018,500,305,226,218,259,232,232,209,132,185,132,55,32,3948,1395
23,Soers,2877,2850,27,1418,1459,1296,1259,161,161,97,103,106,121,69,72,182,218,187,210,167,170,189,187,152,167,132,155,124,46,23,2541,336
24,Jülicher Str.,7582,7520,62,4235,3347,5000,1787,288,507,192,179,199,241,140,202,1322,1195,754,477,353,394,391,364,286,254,184,162,157,79,57,5136,2446
25,Kalkofen,2814,2802,12,1429,1385,1456,998,148,212,97,84,117,182,104,87,231,228,232,187,186,163,189,171,119,122,115,80,70,35,15,1899,915
31,Kaiserplatz,8048,7971,77,4529,3519,5602,1650,248,548,153,106,103,138,73,192,1709,1522,903,531,327,341,359,354,280,269,190,207,167,71,53,5936,2112
32,Adalbertsteinweg,10062,9991,71,5725,4337,6661,2241,386,774,244,221,271,305,180,255,1816,1576,953,667,530,486,552,487,374,299,262,221,188,100,75,6993,3069
33,Panneschopp,8210,8170,40,4754,3456,4866,2259,389,696,223,218,243,333,209,238,1184,986,629,502,471,485,525,491,394,329,256,240,153,73,28,4582,3628
34,Rothe Erde,2635,2628,7,1422,1213,1365,858,157,255,71,93,104,104,67,78,182,231,187,183,170,192,195,182,145,124,97,96,75,37,22,1731,904
35,Trierer Str.,8270,8241,29,4256,4014,4069,2937,503,761,251,239,304,345,199,153,693,754,566,520,501,536,580,544,507,423,330,304,290,154,77,6042,2228
36,Frankenberg,8618,8537,81,4517,4101,5440,2360,223,595,280,179,189,246,147,147,1085,1282,1008,666,492,463,562,509,400,286,219,197,167,67,27,7152,1466
37,Forst,13400,13351,49,6567,6833,5744,5798,891,967,387,432,599,733,443,317,818,809,788,814,836,799,948,997,856,783,562,649,523,211,96,10308,3092
