Bez,StatBezName,Pers,HW,NW,M,W,LD,VH,VW,GS,0-2,3-5,6-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90um,Deutsch,Ausl
10,Markt,2781,2743,38,1656,1125,1981,563,84,153,38,35,24,25,14,71,644,650,314,137,109,110,115,109,81,63,82,81,35,32,12,2156,625
13,Theater,2585,2560,25,1445,1140,1743,553,115,174,51,26,24,32,20,58,490,513,285,153,115,121,121,85,88,86,95,106,57,31,28,2098,487
14,Lindenplatz,4216,4164,52,2280,1936,3042,778,182,214,71,29,47,56,46,106,951,871,480,183,157,178,170,144,138,114,111,120,116,73,55,3451,765
15,St. Jakob,6288,6221,67,3392,2896,4533,1236,177,342,123,68,98,102,75,187,1339,1430,707,353,273,274,279,238,198,152,128,141,75,33,15,5230,1058
16,Westpark,7985,7882,103,4372,3613,5168,2092,338,387,202,155,170,190,117,206,1385,1496,820,466,358,422,354,380,243,218,229,248,154,115,57,6699,1286
17,Hanbruch,3671,3659,12,1774,1897,1501,1610,295,265,102,104,152,194,108,79,209,224,196,207,207,278,295,253,235,166,173,205,167,88,29,3203,468
18,Hîrn,5621,5543,78,2965,2656,2975,2045,344,257,122,142,170,189,170,171,905,637,335,257,228,340,347,284,259,231,219,274,165,102,74,4674,947
21,Ponttor,11998,11808,190,7235,4763,8893,2321,314,470,235,140,159,189,114,417,3108,2673,1267,627,428,484,386,355,310,316,241,267,169,80,33,9032,2966
22,Hansemannplatz,5084,5014,70,2945,2139,3247,1284,200,353,110,57,77,86,48,130,957,869,489,313,216,265,263,249,218,159,199,187,87,74,31,4066,1018
23,Soers,2496,2469,27,1227,1269,1068,1118,163,147,56,62,86,104,72,58,199,147,142,142,137,179,189,151,150,149,143,155,98,56,21,2280,216
24,JÅlicher Str.,7166,7107,59,3924,3242,4518,1806,318,524,173,143,192,247,136,194,1190,1116,691,437,412,415,368,308,271,231,200,186,118,80,58,5247,1919
25,Kalkofen,2747,2732,15,1387,1360,1323,1037,169,218,83,93,130,169,94,67,238,225,192,170,167,183,204,144,120,141,113,106,69,30,9,2044,703
31,Kaiserplatz,8031,7957,74,4502,3529,5222,1934,281,594,181,111,143,134,94,191,1511,1506,860,461,391,412,400,313,309,248,230,246,146,96,48,6202,1829
32,Adalbertsteinweg,9907,9816,91,5532,4375,6198,2461,415,833,287,234,284,322,185,261,1581,1434,990,683,549,580,559,454,347,305,261,281,156,88,66,7326,2581
33,Panneschopp,7852,7818,34,4430,3422,4228,2452,414,758,216,192,262,296,174,218,1070,894,626,487,468,530,522,446,360,340,296,236,127,68,24,4912,2940
34,Rothe Erde,2570,2566,4,1359,1211,1194,964,161,251,85,68,81,105,88,63,222,191,180,161,163,193,192,166,146,122,123,97,75,34,15,1875,695
35,Trierer Str.,7548,7516,32,3757,3791,3382,2891,551,724,209,212,254,291,216,164,572,560,490,470,458,540,567,520,467,388,327,378,245,139,81,5757,1791
36,Frankenberg,7847,7769,78,4050,3797,4776,2237,247,587,213,154,192,248,136,192,860,1086,877,577,520,533,547,436,340,263,218,221,127,71,36,6752,1095
37,Forst,13308,13256,52,6498,6810,5334,6073,924,977,392,427,606,705,443,314,783,746,831,810,822,933,992,905,824,651,699,737,401,214,73,10895,2413
41,Beverau,4328,4269,59,2109,2219,1742,2066,279,241,101,126,226,238,181,115,218,149,154,192,276,367,461,339,238,198,206,231,148,114,50,4119,209
42,Burtsch. Kurgarten,5104,5038,66,2714,2390,3106,1408,222,368,103,91,126,136,127,139,708,706,477,296,245,342,309,246,226,171,173,202,141,97,43,4381,723
43,Burtscheider Abtei,7120,6951,169,3616,3504,3847,2236,452,585,140,114,145,209,132,185,802,806,593,402,329,508,492,432,361,328,333,367,236,132,74,6341,779
46,SteinebrÅck,6989,6890,99,3265,3724,2720,3196,591,482,153,150,223,336,224,177,377,308,304,293,355,552,600,485,451,422,479,433,292,217,158,6520,469
47,Marschiertor,6933,6866,67,3750,3183,4581,1572,291,489,131,92,110,120,120,190,1273,1321,796,373,311,361,330,332,263,171,159,194,137,97,52,5612,1321
48,Hangeweiher,11666,11552,114,5723,5943,5726,4228,854,858,327,288,379,502,353,287,1004,1023,721,563,573,830,765,712,614,536,643,608,415,315,208,10161,1505
51,Brand,17188,17074,114,8243,8945,6581,8073,1150,1384,454,438,621,839,579,420,923,925,896,934,1049,1444,1514,1314,1097,898,974,946,529,255,139,15801,1387
52,Eilendorf,15507,15425,82,7641,7866,6099,7060,1050,1298,411,364,510,669,482,359,930,992,987,874,933,1310,1341,1122,972,849,776,804,459,250,113,13768,1739
53,Haaren,12217,12127,90,6128,6089,5203,5334,767,913,291,331,494,643,432,313,853,779,764,693,782,1032,928,855,655,592,581,598,354,181,66,10518,1699
61,KornelimÅnster,3398,3355,43,1654,1744,1305,1581,257,255,81,91,138,174,90,77,144,174,145,196,226,292,265,239,250,188,221,190,111,58,48,3186,212
62,Oberforstbach,5042,5002,40,2495,2547,1831,2498,336,377,114,100,143,235,188,128,254,224,244,228,249,487,475,411,369,264,298,337,177,88,29,4768,274
63,Walheim,7105,7050,55,3424,3681,2584,3448,541,532,145,182,240,358,242,144,366,298,318,361,377,624,648,567,491,438,420,442,223,141,80,6727,378
64,Vaalserquartier,9283,9101,182,4858,4425,4944,3449,369,521,194,220,283,363,237,291,1384,1128,614,477,411,533,631,650,555,422,308,259,185,104,34,7403,1880
65,Laurensberg,10147,10024,123,4862,5285,4085,4603,780,679,278,266,338,494,285,185,540,585,635,550,588,856,807,693,617,546,543,534,360,280,167,9277,870
66,Richterich,8649,8554,95,4216,4433,3358,4145,528,618,212,218,302,370,273,169,516,485,406,435,484,679,755,738,638,512,520,491,253,140,53,8010,639
