Bez,StatBezName,Pers,HW,NW,M,W,LD,VH,VW,GS,0-2,3-5,6-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90um,Deutsch,Ausl
10,Markt,2778,2737,41,1648,1130,1971,572,86,149,45,24,27,22,18,95,661,634,315,125,98,104,114,97,104,55,85,70,49,23,13,2128,650
13,Theater,2608,2585,23,1468,1140,1797,538,105,168,35,25,30,33,23,90,526,521,292,132,99,105,133,100,78,90,69,111,54,37,25,2119,489
14,Lindenplatz,4304,4254,50,2375,1929,3141,784,181,198,75,39,42,53,40,152,1034,929,419,195,148,173,154,149,124,117,94,125,124,70,48,3408,896
15,St. Jakob,6459,6395,64,3536,2923,4736,1209,169,345,130,79,98,118,73,267,1394,1429,723,376,251,267,276,240,189,167,120,127,79,39,17,5351,1108
16,Westpark,8194,8091,103,4532,3662,5408,2098,312,376,202,142,188,176,129,321,1482,1487,820,502,337,395,367,368,276,219,196,244,172,113,58,6779,1415
17,Hanbruch,3646,3627,19,1790,1856,1554,1531,293,268,94,98,143,227,111,91,209,228,174,185,211,281,278,280,247,177,147,181,154,95,35,3146,500
18,Hörn,5569,5492,77,2931,2638,2965,2014,327,263,116,125,179,184,140,223,883,637,317,262,212,293,354,302,257,259,189,264,197,108,68,4657,912
21,Ponttor,12280,12088,192,7407,4873,9304,2223,307,446,234,148,150,187,105,724,3317,2612,1186,645,360,448,403,366,294,298,241,264,170,85,43,9181,3099
22,Hansemannplatz,5280,5217,63,3071,2209,3482,1250,195,353,96,72,78,85,64,170,1020,944,483,322,207,275,261,248,227,174,167,189,111,60,27,4043,1237
23,Soers,2727,2698,29,1345,1382,1207,1186,167,167,82,79,99,116,80,84,184,184,152,180,152,191,190,172,158,153,138,153,108,50,22,2440,287
24,Jülicher Str.,7497,7433,64,4171,3326,4877,1777,316,527,198,154,194,255,154,269,1312,1153,685,479,378,398,384,323,274,243,188,193,125,80,58,5315,2182
25,Kalkofen,2692,2674,18,1359,1333,1322,1001,159,210,77,97,107,171,106,88,221,205,207,164,171,169,180,155,120,140,100,110,66,31,7,1969,723
31,Kaiserplatz,8340,8261,79,4705,3635,5618,1867,273,582,182,119,170,163,96,295,1622,1495,878,502,392,409,399,322,296,280,203,234,152,74,57,6245,2095
32,Adalbertsteinweg,10039,9966,73,5693,4346,6449,2378,414,798,281,226,284,329,179,332,1702,1469,935,738,500,511,581,469,347,306,240,267,168,100,75,7260,2779
33,Panneschopp,7928,7892,36,4526,3402,4444,2371,389,724,236,190,243,312,198,290,1086,920,580,482,455,483,531,471,350,351,275,247,145,61,22,4807,3121
34,Rothe Erde,2597,2593,4,1399,1198,1246,927,156,268,87,77,86,92,85,76,202,206,178,165,173,190,197,167,149,114,124,104,68,39,18,1863,734
35,Trierer Str.,7726,7690,36,3947,3779,3622,2869,525,710,227,204,283,316,182,191,620,600,526,458,473,510,582,513,478,413,306,348,271,136,89,5773,1953
36,Frankenberg,8070,7998,72,4170,3900,4924,2319,239,588,237,172,182,233,131,208,975,1120,863,608,485,508,573,487,345,266,218,209,142,73,35,6848,1222
37,Forst,13511,13455,56,6617,6894,5637,6000,908,966,423,434,595,737,442,342,845,771,809,833,816,895,1015,934,826,714,589,733,460,209,89,10765,2746
41,Beverau,4328,4263,65,2129,2199,1795,2026,272,235,94,110,228,240,171,135,222,150,138,198,267,355,444,390,266,205,156,245,160,103,51,4049,279
42,Burtsch. Kurgarten,5097,5035,62,2718,2379,3157,1360,214,366,112,74,121,158,95,154,744,757,437,331,209,301,321,247,233,170,150,214,132,92,45,4357,740
43,Burtscheider Abtei,7398,7241,157,3801,3597,4075,2306,444,573,135,132,159,216,160,179,867,856,636,440,315,467,524,470,371,334,307,372,246,146,66,6405,993
46,Steinebrück,7098,6991,107,3337,3761,2792,3232,574,500,162,158,214,334,221,168,400,334,316,309,313,534,589,556,457,434,433,467,321,210,168,6597,501
47,Marschiertor,7005,6938,67,3857,3148,4814,1455,292,444,139,92,105,119,103,282,1360,1347,768,391,281,312,320,342,247,191,151,179,136,90,50,5557,1448
48,Hangeweiher,11733,11609,124,5790,5943,5827,4181,856,869,332,267,373,500,347,319,1103,1014,716,583,533,748,813,733,624,561,548,643,451,311,214,10095,1638
51,Brand,17284,17145,139,8312,8972,6668,8104,1136,1376,477,501,626,832,550,411,924,903,915,928,1025,1351,1522,1352,1137,971,853,997,592,276,141,15834,1450
52,Eilendorf,15708,15615,93,7759,7949,6247,7129,1037,1295,415,397,524,665,464,345,925,1052,978,947,880,1225,1383,1174,1027,928,678,822,499,254,126,13785,1923
53,Haaren,12564,12474,90,6391,6173,5492,5402,762,908,299,334,473,643,410,380,934,883,730,763,738,1033,975,876,694,614,512,586,423,190,74,10471,2093
