Bez,StatBezName,Pers,HW,NW,M,W,LD,VH,VW,GS,0-2,3-5,6-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90um,Deutsch,Ausl
31,Kaiserplatz,8115,8038,77,4564,3551,5280,1949,278,608,178,114,142,153,84,246,1594,1429,873,463,421,410,389,306,316,233,248,229,139,106,42,6306,1809
32,Adalbertsteinweg,9934,9844,90,5577,4357,6184,2478,416,856,277,236,291,327,172,319,1604,1394,971,682,548,596,566,430,362,305,262,282,160,89,61,7440,2494
33,Panneschopp,7916,7885,29,4434,3482,4205,2533,407,771,227,192,266,296,170,249,1098,860,628,505,487,525,509,443,371,327,302,241,128,69,23,5034,2882
34,Rothe Erde,2558,2556,4,1355,1203,1164,990,158,246,79,68,84,114,81,62,223,189,181,153,161,196,190,167,154,116,119,100,68,38,15,1858,700
35,Trierer Str.,7596,7559,37,3769,3827,3395,2938,545,718,211,218,265,286,218,198,582,584,486,445,476,540,563,520,459,375,345,387,220,137,81,5813,1783
36,Frankenberg,7916,7824,92,4071,3845,4812,2248,252,604,233,144,205,239,143,220,870,1066,911,563,527,566,528,431,327,257,226,225,139,59,37,6849,1067
37,Forst,13354,13298,56,6504,6850,5308,6148,922,976,391,433,593,712,445,334,783,769,824,802,828,927,1012,882,843,636,740,724,396,212,68,10982,2372
41,Beverau,4369,4311,58,2125,2244,1770,2079,278,242,99,141,212,243,191,113,231,162,146,204,270,385,456,336,236,191,216,234,138,115,50,4149,220
42,Burtsch. Kurgarten,5137,5063,74,2708,2429,3117,1417,228,375,104,102,118,144,128,136,727,683,488,280,249,356,324,236,221,173,191,198,143,93,43,4437,700
43,Burtscheider Abtei,7100,6923,177,3622,3478,3831,2241,447,581,128,109,162,188,152,209,813,796,564,394,342,518,491,429,349,323,344,355,230,132,72,6324,776
46,SteinebrÅck,6996,6893,103,3267,3729,2723,3181,610,482,148,147,240,325,234,181,367,302,292,278,387,567,598,474,443,423,511,413,278,226,162,6546,450
47,Marschiertor,6972,6901,71,3770,3202,4596,1597,298,481,137,81,115,117,114,230,1311,1335,777,348,306,371,324,320,254,168,169,203,142,96,54,5691,1281
48,Hangeweiher,11732,11616,116,5731,6001,5745,4263,866,858,319,288,395,513,352,299,1016,1006,734,568,585,837,778,689,613,540,657,615,401,319,208,10285,1447
51,Brand,17207,17093,114,8261,8946,6594,8118,1136,1359,458,418,637,853,584,405,948,907,901,923,1102,1474,1514,1293,1080,882,1025,894,511,271,127,15860,1347
52,Eilendorf,15490,15410,80,7641,7849,6059,7095,1056,1280,402,351,510,667,481,373,938,966,986,847,966,1351,1308,1133,978,835,795,800,444,253,106,13789,1701
53,Haaren,12220,12129,91,6126,6094,5200,5319,785,916,283,331,493,639,422,352,863,766,756,701,779,1040,954,820,637,593,604,604,333,184,66,10531,1689
61,KornelimÅnster,3415,3373,42,1663,1752,1309,1595,254,257,84,94,144,164,101,69,151,180,146,191,245,278,266,238,245,192,234,181,108,55,49,3191,224
62,Oberforstbach,5053,5013,40,2501,2552,1808,2539,333,373,113,88,149,243,194,121,251,225,242,222,262,506,489,390,372,257,318,330,165,91,25,4776,277
63,Walheim,7159,7100,59,3464,3695,2610,3481,539,529,143,178,269,343,251,139,383,295,331,353,399,641,649,583,458,431,464,413,215,144,77,6777,382
64,Vaalserquartier,9319,9107,212,4838,4481,4976,3452,370,521,194,210,284,360,232,377,1375,1131,614,475,406,543,655,632,546,407,322,246,182,92,36,7503,1816
65,Laurensberg,10100,9978,122,4828,5272,4022,4605,783,690,279,253,346,487,284,182,560,580,584,551,596,872,772,693,618,536,560,532,362,280,173,9262,838
66,Richterich,8702,8607,95,4248,4454,3399,4170,521,612,210,219,285,392,275,153,559,481,419,421,505,687,757,733,640,504,537,495,236,140,54,8069,633
