Bez,StatBezName,Pers,HW,NW,M,W,LD,VH,VW,GS,0-2,3-5,6-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90um,Deutsch,Ausl
10,Markt,2817,2772,45,1687,1130,2015,552,89,161,33,36,21,26,10,105,672,650,289,144,103,111,111,111,79,70,90,77,32,35,12,2184,633
13,Theater,2571,2543,28,1439,1132,1711,564,126,170,42,18,21,34,17,80,470,520,273,153,117,125,112,86,90,87,97,116,48,36,29,2106,465
14,Lindenplatz,4281,4226,55,2332,1949,3069,815,186,211,68,31,48,58,45,133,949,915,463,187,168,183,161,145,135,110,121,128,106,76,51,3493,788
15,St. Jakob,6360,6294,66,3450,2910,4572,1249,189,350,105,71,108,100,84,231,1367,1419,687,359,285,280,275,251,186,157,127,140,79,34,15,5315,1045
16,Westpark,8014,7911,103,4386,3628,5193,2084,350,387,212,161,158,185,126,262,1404,1471,802,458,356,427,356,365,242,210,246,231,162,115,65,6723,1291
17,Hanbruch,3658,3645,13,1770,1888,1464,1633,298,263,101,104,152,183,114,77,214,216,190,193,220,284,310,239,238,163,173,213,158,92,24,3202,456
18,Hîrn,5616,5543,73,2982,2634,2968,2037,352,259,121,146,156,200,163,209,882,622,348,250,231,344,346,280,262,220,241,263,153,108,71,4711,905
21,Ponttor,12237,12019,218,7352,4885,9062,2369,330,476,235,144,176,188,124,604,3086,2728,1248,610,456,469,387,352,327,295,268,258,155,87,40,9265,2972
22,Hansemannplatz,5159,5084,75,2978,2181,3311,1296,202,350,98,65,72,84,40,165,993,857,517,293,229,262,259,250,236,155,210,184,88,72,30,4128,1031
23,Soers,2467,2442,25,1204,1263,1039,1111,165,152,54,52,81,105,73,60,200,135,128,136,143,186,191,148,149,149,155,148,95,59,20,2257,210
24,JÅlicher Str.,7205,7145,60,3954,3251,4531,1833,329,512,171,145,198,251,135,234,1217,1063,686,444,423,417,371,306,273,231,201,189,115,86,49,5292,1913
25,Kalkofen,2755,2741,14,1377,1378,1313,1059,172,211,96,84,145,162,98,69,238,212,185,194,162,194,196,137,126,131,118,101,68,31,8,2061,694
