Bez,StatBezName,Pers,HW,NW,M,W,LD,VH,VW,GS,0-2,3-5,6-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90um,Deutsch,Ausl
34,Rothe Erde,2594,2590,4,1389,1205,1245,914,158,277,91,68,88,101,84,78,195,215,185,161,165,194,196,159,141,125,123,104,65,41,15,1866,728
35,Trierer Str.,7605,7576,29,3866,3739,3532,2827,532,714,203,204,269,317,185,177,606,592,499,451,483,507,567,518,469,393,318,357,268,141,81,5714,1891
36,Frankenberg,8114,8040,74,4203,3911,4971,2303,247,593,232,175,181,240,147,186,967,1130,874,603,499,529,593,453,359,258,225,210,139,73,41,6849,1265
37,Forst,13455,13400,55,6642,6813,5573,6008,903,971,386,469,561,744,429,345,844,788,812,833,803,890,1013,943,828,698,601,750,420,220,78,10769,2686
41,Beverau,4315,4254,61,2129,2186,1768,2035,274,238,97,112,229,242,170,121,219,152,145,213,271,353,441,366,260,205,167,240,151,106,55,4068,247
42,Burtsch. Kurgarten,5048,4984,64,2687,2361,3116,1345,219,368,108,73,120,151,108,159,730,719,430,312,227,304,322,246,231,170,152,215,132,97,42,4333,715
43,Burtscheider Abtei,7372,7203,169,3784,3588,4037,2306,451,578,147,129,148,227,149,157,893,844,612,421,322,489,527,444,372,346,301,373,257,140,74,6420,952
46,Steinebrück,7118,7009,109,3361,3757,2836,3208,576,498,170,157,216,336,224,177,407,329,331,297,326,542,593,528,452,458,432,456,311,221,155,6620,498
47,Marschiertor,6966,6902,64,3796,3170,4701,1503,301,461,141,107,100,117,121,199,1288,1385,753,396,297,341,322,334,263,181,146,192,136,95,52,5552,1414
48,Hangeweiher,11656,11534,122,5730,5926,5767,4173,853,863,330,273,367,512,349,296,1070,997,739,550,544,742,820,712,617,558,571,641,436,318,214,10076,1580
51,Brand,17256,17123,133,8297,8959,6653,8092,1129,1382,473,491,622,807,592,408,943,903,930,920,1034,1363,1518,1338,1122,970,875,956,587,263,141,15808,1448
52,Eilendorf,15660,15575,85,7747,7913,6199,7132,1039,1290,410,401,504,675,467,343,928,1041,967,913,923,1262,1379,1151,1009,909,701,808,492,251,126,13783,1877
53,Haaren,12487,12393,94,6321,6166,5421,5381,765,920,285,339,484,651,409,390,910,837,742,750,727,1046,973,863,684,612,533,597,404,178,73,10521,1966
61,Kornelimünster,3399,3358,41,1668,1731,1315,1568,258,258,75,91,146,181,100,58,137,162,171,176,224,278,280,245,245,198,209,195,119,60,49,3124,275
62,Oberforstbach,5091,5051,40,2521,2570,1877,2481,348,385,115,105,145,226,168,143,283,222,249,241,227,452,505,427,365,299,262,329,194,96,38,4757,334
63,Walheim,7103,7039,64,3432,3671,2611,3411,547,534,161,165,244,366,236,148,340,319,307,364,379,581,653,577,514,462,379,454,248,128,78,6651,452
64,Vaalserquartier,9306,9134,172,4876,4430,4989,3431,361,525,218,210,290,364,216,311,1327,1152,619,497,410,493,628,653,555,460,297,279,180,108,39,7321,1985
65,Laurensberg,10311,10179,132,4953,5358,4213,4605,794,699,305,271,339,511,297,210,498,613,657,562,583,825,834,711,616,579,507,562,372,285,174,9323,988
66,Richterich,8749,8669,80,4301,4448,3506,4107,512,624,206,220,329,385,270,184,492,551,433,453,460,633,757,730,664,548,458,516,261,147,52,7902,847
