Bez,StatBezName,Pers,HW,NW,M,W,LD,VH,VW,GS,0-2,3-5,6-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90um,Deutsch,Ausl
10,Markt,2774,2736,38,1650,1124,1982,551,88,153,39,34,25,26,14,68,654,648,322,128,96,110,113,104,96,57,80,74,47,24,15,2140,634
13,Theater,2582,2558,24,1463,1119,1766,544,105,167,39,26,31,34,20,67,517,520,284,138,105,108,129,96,78,89,80,110,55,33,23,2102,480
14,Lindenplatz,4304,4259,45,2373,1931,3155,757,185,207,80,41,43,55,38,133,996,932,441,194,148,178,161,146,129,122,93,129,126,69,50,3401,903
15,St. Jakob,6358,6291,67,3461,2897,4636,1204,170,348,118,77,101,111,77,192,1373,1431,738,357,255,274,279,246,187,167,117,128,76,37,17,5266,1092
16,Westpark,8063,7958,105,4424,3639,5281,2071,330,381,196,139,183,182,121,297,1386,1496,819,475,345,410,369,363,277,216,198,246,171,115,59,6730,1333
17,Hanbruch,3667,3653,14,1791,1876,1554,1543,297,273,95,103,155,210,120,81,206,225,179,205,205,275,290,273,243,171,150,193,168,84,36,3168,499
18,Hörn,5546,5466,80,2920,2626,2926,2029,330,261,117,138,163,194,137,196,870,635,324,265,215,318,344,301,258,247,203,256,181,115,69,4645,901
21,Ponttor,12111,11914,197,7287,4824,9084,2270,310,447,240,171,163,196,116,487,3179,2663,1218,646,397,451,409,362,304,316,238,250,179,84,42,9080,3031
22,Hansemannplatz,5251,5183,68,3045,2206,3434,1273,195,349,118,71,82,77,64,137,1002,938,505,312,208,273,257,255,224,174,173,190,100,66,25,4060,1191
23,Soers,2647,2622,25,1310,1337,1155,1158,167,167,64,70,95,113,82,70,195,167,151,161,142,189,194,171,156,161,136,153,101,54,22,2382,265
24,Jülicher Str.,7300,7231,69,4047,3253,4693,1768,314,525,185,151,192,248,152,226,1237,1141,682,472,385,403,373,323,259,246,175,198,116,79,57,5215,2085
25,Kalkofen,2704,2690,14,1357,1347,1319,1004,170,211,82,94,109,176,89,87,219,211,206,159,170,173,188,154,122,141,102,117,65,31,9,1987,717
31,Kaiserplatz,8173,8090,83,4579,3594,5429,1873,274,597,174,118,166,148,101,225,1566,1504,821,509,386,421,392,345,299,262,211,247,147,75,56,6188,1985
32,Adalbertsteinweg,9904,9827,77,5575,4329,6317,2382,408,797,269,232,285,314,183,274,1650,1447,966,709,500,534,581,461,344,313,245,270,166,89,72,7261,2643
33,Panneschopp,7852,7819,33,4426,3426,4339,2381,393,739,232,190,253,306,187,222,1088,881,587,496,465,492,515,483,351,352,275,253,139,66,19,4792,3060
