Bez,StatBezName,Pers,HW,NW,M,W,LD,VH,VW,GS,0-2,3-5,6-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90um,Deutsch,Ausl
10,Markt,2763,2719,44,1629,1134,1973,557,87,146,33,27,28,31,15,99,692,616,292,148,91,91,111,96,104,62,71,69,53,23,11,2092,671
13,Theater,2672,2638,34,1513,1159,1870,534,107,161,42,26,31,33,27,82,566,539,271,154,102,89,136,104,87,85,78,96,68,27,29,2104,568
14,Lindenplatz,4328,4277,51,2355,1973,3184,750,185,209,73,47,40,48,34,168,1067,925,412,182,124,151,174,149,127,116,95,128,126,91,51,3377,951
15,St. Jakob,6443,6382,61,3578,2865,4713,1238,154,338,128,75,89,109,65,255,1447,1407,734,371,256,254,263,238,216,160,120,112,86,43,15,5267,1176
16,Westpark,8284,8183,101,4598,3686,5515,2085,320,364,189,162,177,193,121,308,1593,1446,831,520,346,358,391,367,295,221,192,220,190,101,63,6766,1518
17,Hanbruch,3664,3639,25,1799,1865,1588,1508,289,279,97,106,158,219,102,93,213,222,184,198,206,264,277,294,247,189,143,163,164,87,38,3135,529
18,Hîrn,5594,5513,81,2921,2673,3035,1980,324,255,126,120,191,185,127,231,904,647,327,257,217,264,348,312,255,240,191,269,207,114,62,4640,954
21,Ponttor,12309,12124,185,7413,4896,9433,2153,293,430,212,149,153,166,98,643,3500,2693,1157,621,348,407,410,347,318,300,246,242,181,78,40,9015,3294
22,Hansemannplatz,5295,5237,58,3052,2243,3530,1231,193,341,86,77,72,103,59,172,1030,953,485,307,223,246,259,264,223,182,167,173,130,53,31,4034,1261
23,Soers,2844,2816,28,1395,1449,1252,1252,166,174,95,85,107,112,74,74,176,222,177,185,169,183,188,182,158,174,139,149,125,47,23,2518,326
24,JÅlicher Str.,7547,7481,66,4216,3331,4973,1751,305,518,186,149,213,234,154,280,1289,1160,709,468,403,404,384,346,274,240,196,183,144,77,54,5309,2238
25,Kalkofen,2708,2690,18,1367,1341,1370,964,158,216,69,89,122,166,120,86,229,223,197,159,186,163,184,159,113,135,108,87,68,34,11,1914,794
31,Kaiserplatz,8181,8109,72,4616,3565,5561,1772,259,589,144,115,114,154,93,297,1647,1511,841,508,370,386,380,350,292,277,203,207,159,79,54,6153,2028
32,Adalbertsteinweg,10148,10078,70,5763,4385,6650,2320,407,771,240,238,266,347,173,342,1800,1542,923,712,515,518,574,458,357,311,238,248,176,94,76,7213,2935
33,Panneschopp,8198,8149,49,4686,3512,4758,2323,400,717,230,213,261,342,207,322,1153,915,617,494,453,498,524,500,363,336,283,252,144,62,29,4817,3381
34,Rothe Erde,2552,2546,6,1377,1175,1241,891,149,271,70,74,91,96,78,66,173,234,176,175,148,192,195,171,142,125,118,102,68,41,17,1772,780
35,Trierer Str.,7889,7864,25,4059,3830,3776,2864,512,737,242,202,286,319,169,209,652,600,565,492,480,515,586,528,495,419,306,329,273,148,74,5857,2032
36,Frankenberg,8487,8401,86,4427,4060,5293,2370,227,597,292,188,171,255,142,207,1023,1201,968,669,463,501,586,496,376,271,221,214,142,67,34,7126,1361
37,Forst,13447,13397,50,6555,6892,5662,5909,902,974,418,449,584,734,450,309,843,778,797,819,807,865,993,947,863,733,555,712,481,215,95,10560,2887
41,Beverau,4222,4153,69,2081,2141,1694,2016,271,241,75,108,213,254,139,122,225,133,133,191,249,339,429,419,278,200,172,216,177,99,51,3995,227
42,Burtsch. Kurgarten,5079,5020,59,2735,2344,3206,1315,205,353,98,79,115,148,115,142,774,761,441,326,199,280,319,261,231,174,146,187,150,85,48,4293,786
43,Burtscheider Abtei,7467,7282,185,3840,3627,4172,2290,440,565,171,117,168,210,157,196,859,878,670,417,358,401,548,474,373,339,300,374,248,140,69,6424,1043
46,SteinebrÅck,7154,7047,107,3356,3798,2826,3244,582,502,167,166,212,338,216,165,410,321,320,334,315,485,608,571,473,430,423,465,356,220,159,6644,510
47,Marschiertor,6925,6861,64,3839,3086,4790,1427,273,435,141,70,93,112,89,261,1376,1395,770,377,269,275,326,324,252,201,151,159,149,83,52,5467,1458
48,Hangeweiher,11691,11568,123,5745,5946,5813,4141,859,878,336,256,349,489,312,326,1122,1022,727,560,535,662,856,753,606,587,510,671,464,298,250,10043,1648
51,Brand,17127,16992,135,8207,8920,6559,8078,1132,1358,478,504,613,813,541,397,892,904,901,942,972,1241,1529,1390,1179,986,844,954,639,266,142,15617,1510
52,Eilendorf,15670,15582,88,7723,7947,6265,7099,1022,1284,417,408,521,657,437,356,909,1020,992,979,863,1154,1396,1191,1028,921,716,770,563,253,119,13707,1963
53,Haaren,12479,12385,94,6372,6107,5514,5302,752,911,296,312,467,644,401,400,924,847,762,774,735,929,984,910,711,612,504,575,437,185,70,10336,2143
61,KornelimÅnster,3340,3299,41,1622,1718,1262,1546,272,260,74,84,132,181,95,54,130,143,171,161,207,268,289,252,234,202,202,218,123,61,59,3083,257
62,Oberforstbach,5032,4992,40,2505,2527,1830,2472,338,392,102,122,128,212,158,120,275,229,237,265,224,368,513,448,352,353,234,327,217,111,37,4659,373
63,Walheim,7089,7029,60,3442,3647,2550,3416,568,555,161,159,263,338,220,157,294,313,322,337,404,499,670,611,528,466,362,460,298,148,79,6573,516
64,Vaalserquartier,10177,9996,181,5459,4718,5808,3475,369,525,204,221,291,357,222,514,1757,1267,656,497,419,458,603,630,583,502,334,306,196,111,49,7680,2497
65,Laurensberg,10436,10299,137,5064,5372,4301,4610,802,723,292,284,343,488,306,219,543,582,670,622,556,733,897,731,635,571,525,523,455,276,185,9298,1138
66,Richterich,8726,8632,94,4297,4429,3463,4105,507,651,214,248,314,380,272,190,450,495,466,444,467,574,743,720,696,581,450,492,329,138,63,7831,895
