Bez,StatBezName,Pers,HW,NW,M,W,LD,VH,VW,GS,0-2,3-5,6-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90um,Deutsch,Ausl
10,Markt,2854,2819,35,1686,1168,2043,573,88,150,38,33,28,28,15,96,664,673,307,139,105,116,111,106,90,63,79,81,41,27,14,2182,672
13,Theater,2622,2596,26,1482,1140,1802,536,112,172,48,26,27,31,19,94,518,514,279,152,107,109,125,91,82,86,85,112,57,31,29,2133,489
14,Lindenplatz,4376,4323,53,2406,1970,3218,766,181,211,70,35,53,58,43,171,1010,908,463,180,163,186,178,143,132,115,105,123,119,68,53,3458,918
15,St. Jakob,6433,6360,73,3495,2938,4662,1251,171,349,122,72,104,108,77,220,1392,1453,737,351,277,267,289,232,187,163,117,139,72,38,16,5340,1093
16,Westpark,8129,8025,104,4453,3676,5318,2092,333,386,196,151,172,178,128,333,1362,1524,823,471,350,420,357,390,256,217,203,256,165,116,61,6771,1358
17,Hanbruch,3711,3695,16,1815,1896,1555,1594,291,271,92,106,153,206,113,88,217,234,191,200,219,269,302,263,238,174,155,201,168,89,33,3203,508
18,Hîrn,5656,5573,83,2971,2685,3022,2048,332,254,128,133,172,189,160,229,883,653,340,247,225,332,348,296,255,246,206,271,170,111,62,4707,949
21,Ponttor,12420,12217,203,7528,4892,9314,2332,313,461,236,159,163,189,128,638,3204,2690,1284,650,422,483,394,354,312,328,231,268,166,88,33,9284,3136
22,Hansemannplatz,5280,5208,72,3072,2208,3433,1306,198,343,115,64,85,85,58,175,1024,903,488,328,219,264,255,261,227,166,178,198,88,75,24,4095,1185
23,Soers,2579,2554,25,1273,1306,1124,1139,167,149,65,76,94,102,70,74,203,150,148,145,145,190,188,161,150,155,135,158,93,55,22,2336,243
24,JÅlicher Str.,7330,7264,66,4053,3277,4689,1800,321,520,179,144,188,239,146,303,1193,1144,677,457,401,425,375,330,255,241,182,200,116,81,54,5283,2047
25,Kalkofen,2769,2754,15,1406,1363,1355,1024,177,213,83,96,120,177,89,86,235,211,217,169,165,184,192,152,127,138,109,111,66,33,9,2031,738
31,Kaiserplatz,8258,8166,92,4628,3630,5433,1949,280,596,182,110,156,155,97,283,1569,1528,838,511,369,425,402,317,303,255,213,250,154,89,52,6277,1981
32,Adalbertsteinweg,10001,9928,73,5621,4380,6328,2454,410,809,266,233,302,315,175,340,1637,1436,984,711,520,562,575,451,338,314,247,281,159,88,67,7346,2655
33,Panneschopp,7960,7932,28,4521,3439,4389,2421,396,754,226,196,263,301,185,283,1096,897,610,496,467,516,511,463,358,353,279,246,133,61,20,4893,3067
34,Rothe Erde,2592,2589,3,1384,1208,1222,947,158,265,84,74,79,101,89,70,212,204,181,171,163,186,200,162,142,130,117,106,68,37,16,1882,710
35,Trierer Str.,7663,7631,32,3900,3763,3534,2885,542,702,208,207,263,301,203,181,612,612,507,457,477,518,573,517,470,394,316,374,249,152,72,5738,1925
36,Frankenberg,8016,7941,75,4134,3882,4908,2278,244,586,221,154,185,251,152,197,951,1108,865,578,524,534,554,456,341,265,219,217,135,72,37,6805,1211
37,Forst,13521,13468,53,6648,6873,5582,6062,918,959,393,461,592,742,426,358,838,782,834,820,819,916,1006,920,825,694,644,744,416,215,76,10823,2698
41,Beverau,4314,4252,62,2109,2205,1738,2054,278,244,87,124,226,240,179,106,229,143,148,207,281,352,443,359,251,199,183,244,151,108,54,4088,226
42,Burtsch. Kurgarten,5137,5070,67,2732,2405,3170,1375,223,369,110,83,128,140,120,169,744,705,460,307,235,319,324,243,230,166,163,212,135,98,46,4379,758
43,Burtscheider Abtei,7355,7185,170,3759,3596,4042,2279,455,579,145,127,149,226,149,208,853,847,604,418,330,503,500,446,364,338,318,383,237,135,75,6444,911
46,SteinebrÅck,7058,6950,108,3320,3738,2778,3211,576,493,154,155,210,340,219,191,395,330,323,284,341,541,606,490,471,435,452,444,298,219,160,6547,511
47,Marschiertor,6988,6926,62,3798,3190,4660,1552,299,477,140,94,101,116,113,239,1292,1347,763,385,287,355,326,347,262,181,150,198,142,102,48,5645,1343
48,Hangeweiher,11661,11539,122,5742,5919,5745,4212,848,856,323,275,364,503,343,331,1038,985,740,571,547,773,811,705,617,544,609,629,426,315,212,10069,1592
51,Brand,17182,17058,124,8240,8942,6595,8064,1143,1380,461,451,620,830,583,413,938,922,896,927,1047,1373,1532,1321,1107,936,922,930,574,260,139,15772,1410
52,Eilendorf,15662,15578,84,7741,7921,6170,7150,1044,1298,424,369,513,672,485,366,937,1007,1000,904,918,1306,1376,1120,1002,884,711,821,467,255,125,13818,1844
53,Haaren,12507,12414,93,6334,6173,5438,5389,760,920,294,341,483,650,432,403,919,828,752,711,789,1043,948,845,676,603,558,600,383,182,67,10562,1945
61,KornelimÅnster,3401,3363,38,1658,1743,1316,1582,250,253,78,88,143,174,97,68,136,177,157,190,222,287,277,231,245,209,208,186,123,60,45,3161,240
62,Oberforstbach,5022,4983,39,2477,2545,1824,2475,343,380,112,98,141,225,170,137,266,227,246,221,235,474,482,425,362,274,283,333,185,90,36,4758,264
63,Walheim,7187,7123,64,3466,3721,2676,3442,546,523,156,178,251,378,234,149,369,317,322,380,376,596,644,583,498,453,391,455,240,135,82,6659,528
64,Vaalserquartier,9378,9202,176,4926,4452,5042,3453,368,515,202,220,293,359,234,347,1385,1138,609,504,414,517,628,633,566,431,300,270,184,109,35,7353,2025
65,Laurensberg,10222,10097,125,4899,5323,4131,4620,780,691,280,267,342,499,295,226,530,585,640,560,577,851,813,705,604,561,534,542,368,278,165,9321,901
66,Richterich,8701,8607,94,4236,4465,3417,4144,523,617,211,220,322,382,260,180,518,510,413,447,464,661,755,733,651,529,466,525,259,145,50,7975,726
